id,name,number,degree,hobbies,city,personality_traits,sex,age,origin_country,average_grade,language,learning_pace,career_focus
1,Breanna Schwartz,+48153706981,Bachelor of Science,"['art', 'traveling', 'hiking']",Warsaw,['gregarious'],male,26,Poland,3.77,English + Poland,Medium,High
2,Karen Waters,+48304800796,Master of Arts,"['sports', 'reading']",Lublin,"['cowardly', 'vulgar', 'tolerant']",female,25,Germany,1.44,English,Low,High
3,Arthur Arroyo,+48888218571,Master of Science,"['sports', 'art']",Warsaw,"['apathetic', 'jealous', 'exuberant', 'kind']",male,24,France,1.73,English,Fast,Low
4,Larry Finley,+48720156341,Master of Science,['cooking'],Krakow,"['conceited', 'adaptable', 'obnoxious']",male,29,USA,2.18,English,Fast,High
5,Susan Matthews,+48960883580,Bachelor of Science,['music'],Krakow,['disloyal'],female,27,Poland,4.16,English + Poland,Medium,Low
6,James Thompson,+48224505752,PhD,['reading'],Katowice,['unfriendly'],male,22,USA,4.71,English,Fast,Medium
7,Shirley Davis,+48789126323,Bachelor of Arts,"['cooking', 'dancing']",Szczecin,['surly'],female,29,USA,2.01,English,Fast,High
8,Teresa Jimenez,+48097970649,PhD,"['music', 'sports']",Gdansk,['confident'],female,27,Ukraine,3.48,English + Ukraine,Fast,High
9,Joshua Yang,+48242633166,Master of Science,"['sports', 'traveling', 'cooking', 'dancing']",Gdansk,"['persistent', 'jealous', 'intelligent']",male,27,Ukraine,4.12,English + Ukraine,Fast,Low
10,Gregory Dickerson,+48100507355,PhD,"['hiking', 'sports', 'gaming', 'cooking']",Poznan,"['apathetic', 'manipulative', 'affable', 'rude']",female,24,France,4.5,English,Medium,Low
11,Samantha Berger,+48767438377,Bachelor of Science,"['traveling', 'reading']",Gdansk,['dishonest'],female,30,Ukraine,4.3,English + Ukraine,Low,High
12,Christine Johnson,+48606772068,Bachelor of Arts,"['art', 'reading']",Gdansk,"['conceited', 'slovenly', 'competent', 'boorish', 'arrogant', 'persistent']",male,26,Poland,3.31,English + Poland,Fast,Medium
13,Connie Collier,+48486605417,Bachelor of Science,"['reading', 'hiking', 'music']",Wroclaw,"['reliable', 'honest', 'mindful', 'stingy', 'surly']",male,26,Poland,1.59,English + Poland,Low,Medium
14,Jennifer Fisher,+48204478242,Master of Science,"['music', 'art', 'cooking', 'dancing', 'reading']",Gdansk,"['optimistic', 'uncertain', 'self-centered', 'friendly']",male,23,Poland,4.62,English + Poland,Medium,Medium
15,Carolyn Stewart,+48802938520,Bachelor of Science,['reading'],Warsaw,"['independent', 'picky', 'callous', 'fair', 'gregarious', 'selfish']",male,27,Ukraine,3.08,English + Ukraine,Medium,Medium
16,Craig Avery,+48865619744,PhD,"['cooking', 'dancing', 'music', 'hiking']",Poznan,"['loyal', 'driven', 'callous', 'picky', 'determined']",male,22,Italy,2.44,English,Medium,Medium
17,Anna Rogers,+48497824247,Master of Science,['gaming'],Szczecin,"['precise', 'callous', 'humble', 'selfish', 'stingy']",female,22,Poland,4.18,English + Poland,Fast,High
18,Gina Morales,+48244964469,Master of Science,"['traveling', 'sports', 'hiking']",Poznan,"['arrogant', 'callous', 'insightful', 'manipulative', 'precise', 'tolerant', 'creative']",male,25,Ukraine,2.55,English + Ukraine,Fast,High
19,Erica Watson,+48788423630,Master of Arts,['reading'],Krakow,"['greedy', 'boorish']",female,26,Ukraine,1.65,English + Ukraine,Low,Low
20,Theodore Anthony,+48920613277,PhD,['art'],Gdansk,"['friendly', 'conceited', 'kind']",female,29,Poland,4.38,English + Poland,Low,Medium
21,Victoria Morris,+48676056698,Bachelor of Arts,"['music', 'reading']",Wroclaw,"['mindful', 'arrogant', 'rigid']",male,26,Poland,2.74,English + Poland,Medium,Medium
22,David Merritt,+48725565915,Bachelor of Science,"['dancing', 'art', 'traveling', 'music']",Gdansk,"['persistent', 'rigid', 'bossy']",male,27,Ukraine,3.07,English + Ukraine,Medium,Low
23,Mary Smith,+48573368657,Bachelor of Science,['sports'],Warsaw,"['vulgar', 'honest', 'stingy']",male,23,Poland,2.02,English + Poland,Fast,Low
24,Charlene Solis,+48996902315,Master of Science,"['music', 'sports', 'reading', 'dancing']",Katowice,"['intelligent', 'unfriendly', 'slovenly', 'indecisive', 'gregarious', 'pessimistic', 'compassionate']",female,25,Poland,3.23,English + Poland,Low,Medium
25,Neil Singleton,+48197068570,PhD,"['music', 'cooking']",Warsaw,"['vulgar', 'persistent']",male,23,France,2.93,English,Medium,Low
26,Kevin Simmons,+48098562333,Bachelor of Arts,"['traveling', 'sports', 'hiking', 'dancing', 'reading']",Krakow,"['intelligent', 'fair', 'self-centered', 'independent', 'understanding']",female,27,Poland,3.48,English + Poland,Fast,High
27,James Jordan,+48031474612,Bachelor of Arts,['art'],Krakow,"['finicky', 'uncertain', 'independent', 'broad-minded', 'driven', 'mindful']",female,29,Ukraine,2.33,English + Ukraine,Medium,Low
28,Ryan Henry,+48687723799,Bachelor of Science,"['cooking', 'sports', 'traveling']",Krakow,"['congenial', 'cowardly', 'reckless', 'kind', 'independent', 'intelligent']",female,23,Poland,1.2,English + Poland,Fast,Low
29,Andrew Brady,+48039173261,Bachelor of Arts,"['art', 'music']",Lublin,"['confident', 'helpful', 'trustworthy']",female,23,Ukraine,2.91,English + Ukraine,Fast,Medium
30,Cory Hood,+48140025635,Master of Science,"['reading', 'sports', 'hiking', 'traveling']",Wroclaw,"['courageous', 'mindful', 'creative', 'apathetic', 'sneaky']",male,22,Poland,2.75,English + Poland,Low,High
31,Stephanie Knapp,+48161609448,Master of Arts,"['art', 'sports', 'cooking', 'dancing', 'reading']",Wroclaw,"['discreet', 'bossy', 'lazy', 'gregarious', 'driven']",female,29,Ukraine,1.73,English + Ukraine,Low,Low
32,Christopher Lewis,+48491295898,Bachelor of Science,"['dancing', 'music', 'art', 'sports']",Warsaw,"['surly', 'sociable', 'exuberant', 'trustworthy', 'persistent']",female,22,UK,4.85,English,Fast,High
33,Jennifer Cooley,+48120683021,Master of Arts,"['sports', 'reading', 'dancing', 'hiking']",Szczecin,"['forgetful', 'enthusiastic', 'confident', 'adaptable', 'slovenly']",male,26,UK,4.3,English,Fast,High
34,Lisa Garcia,+48282036745,Master of Arts,"['music', 'sports']",Warsaw,"['patient', 'optimistic', 'jealous', 'tolerant', 'rude']",male,22,Ukraine,3.26,English + Ukraine,Low,High
35,Brian Townsend,+48392957177,Bachelor of Science,"['hiking', 'music', 'traveling', 'dancing', 'art']",Lublin,"['patient', 'enthusiastic', 'competent', 'optimistic', 'kind', 'malicious']",female,25,Ukraine,1.13,English + Ukraine,Medium,High
36,Erika Jennings,+48295949296,Master of Arts,"['music', 'reading', 'art']",Krakow,"['adaptable', 'callous', 'forgetful', 'greedy', 'broad-minded', 'enthusiastic', 'dishonest']",female,28,Poland,3.68,English + Poland,Medium,High
37,Courtney Hunt,+48393236494,Master of Arts,"['music', 'dancing']",Wroclaw,"['discreet', 'apathetic', 'understanding', 'arrogant', 'uncertain', 'lazy', 'malicious']",female,25,Poland,1.71,English + Poland,Medium,High
38,Jessica Wang,+48711209153,Master of Arts,['traveling'],Poznan,"['accepting', 'gregarious', 'persistent']",male,26,Poland,2.56,English + Poland,Medium,Low
39,Stephanie Thompson,+48112827833,Master of Arts,"['gaming', 'art', 'cooking', 'traveling', 'dancing']",Gdansk,"['helpful', 'sympathetic', 'mindful']",male,22,Poland,4.44,English + Poland,Low,Medium
40,David Sullivan,+48016207453,Master of Arts,"['art', 'hiking', 'cooking', 'music']",Gdansk,"['greedy', 'bossy', 'boorish']",male,28,France,1.34,English,Low,Low
41,Rebecca Murphy,+48921466899,Master of Science,"['sports', 'music', 'art', 'gaming', 'hiking']",Katowice,"['uncertain', 'enthusiastic', 'cowardly']",female,30,Poland,1.12,English + Poland,Medium,Low
42,Andrew Williams DDS,+48511625176,Master of Science,['reading'],Gdansk,['compassionate'],male,26,Ukraine,2.34,English + Ukraine,Low,High
43,David White,+48366388847,PhD,"['gaming', 'reading', 'sports', 'dancing']",Gdansk,"['fair', 'greedy', 'vulgar', 'independent', 'selfish', 'humble']",female,22,Poland,2.87,English + Poland,Fast,High
44,Gregory Haynes,+48085265083,PhD,"['cooking', 'art', 'dancing']",Gdansk,"['malicious', 'driven', 'accepting', 'vulgar', 'thoughtless']",female,27,Ukraine,3.55,English + Ukraine,Medium,High
45,Angel Burgess,+48959029385,Master of Arts,"['dancing', 'art', 'sports', 'music']",Krakow,"['conceited', 'thoughtless', 'reliable', 'arrogant', 'accepting']",female,28,Poland,2.65,English + Poland,Fast,Low
46,Sandra Moore,+48104547860,PhD,"['cooking', 'gaming']",Krakow,"['optimistic', 'affable', 'driven', 'humble', 'tolerant', 'unfriendly', 'conceited']",female,26,Poland,4.96,English + Poland,Fast,Medium
47,Courtney Castillo,+48229207760,Bachelor of Arts,"['music', 'gaming']",Wroclaw,"['empathic', 'broad-minded']",female,22,Poland,4.82,English + Poland,Medium,Medium
48,Kathryn Higgins,+48328072918,Master of Science,"['cooking', 'sports', 'traveling', 'reading', 'music']",Szczecin,"['forgetful', 'enthusiastic', 'congenial']",male,26,Ukraine,3.19,English + Ukraine,Low,Low
49,Marcus Ward,+48920463730,Bachelor of Arts,"['traveling', 'hiking', 'cooking', 'art']",Lublin,"['argumentative', 'boorish']",female,25,Ukraine,2.76,English + Ukraine,Low,Low
50,Vincent Allison,+48795646172,PhD,"['music', 'cooking', 'hiking', 'sports', 'dancing']",Gdansk,"['affable', 'responsible']",female,29,Ukraine,1.8,English + Ukraine,Medium,Low
51,Taylor Kramer,+48683084702,PhD,"['cooking', 'sports', 'traveling', 'art']",Lublin,"['optimistic', 'driven', 'courageous', 'disloyal']",female,27,Ukraine,4.27,English + Ukraine,Low,High
52,Kayla Santos,+48961771133,Bachelor of Arts,"['art', 'gaming']",Szczecin,"['reliable', 'loyal', 'confident', 'surly', 'compassionate', 'impulsive']",male,22,Poland,3.37,English + Poland,Fast,Medium
53,Dr. Crystal Peters,+48665212863,Bachelor of Science,['sports'],Katowice,['uncertain'],female,25,Ukraine,2.57,English + Ukraine,Low,Low
54,Ryan Brown,+48690916473,Master of Arts,"['cooking', 'gaming', 'traveling', 'reading', 'hiking']",Katowice,"['arrogant', 'kind', 'sarcastic', 'finicky', 'independent', 'exuberant', 'helpful']",female,29,Ukraine,4.75,English + Ukraine,Medium,Low
55,Danielle Frazier,+48134441035,PhD,"['gaming', 'cooking', 'reading', 'traveling']",Krakow,"['cowardly', 'determined', 'honest', 'impatient', 'driven', 'discreet', 'surly']",male,28,Italy,2.54,English,Medium,High
56,Darrell Higgins,+48624418005,Bachelor of Science,['music'],Katowice,"['obnoxious', 'empathic', 'manipulative', 'intelligent', 'creative', 'humble', 'gregarious']",male,28,Poland,4.42,English + Poland,Low,Low
57,Laura Brandt,+48699619953,PhD,"['hiking', 'traveling']",Wroclaw,"['optimistic', 'discreet']",male,25,Ukraine,3.86,English + Ukraine,Low,Medium
58,Jenna Wheeler,+48232554122,Bachelor of Arts,"['music', 'cooking', 'hiking', 'sports']",Wroclaw,['broad-minded'],male,25,Poland,4.05,English + Poland,Low,Low
59,Tammy Salazar,+48273240893,Master of Science,"['reading', 'music', 'gaming', 'traveling']",Szczecin,"['disloyal', 'callous', 'enthusiastic', 'adaptable']",female,27,Ukraine,1.37,English + Ukraine,Fast,Medium
60,Steven Adkins,+48080552724,Bachelor of Science,"['sports', 'reading', 'music']",Lublin,['unfriendly'],male,24,Poland,2.02,English + Poland,Fast,Medium
61,Wayne Wade,+48282835635,Master of Science,"['gaming', 'sports', 'dancing', 'music', 'hiking']",Krakow,"['adaptable', 'bossy', 'compassionate', 'courageous', 'discreet']",female,25,Ukraine,1.91,English + Ukraine,Medium,Low
62,Raymond Gillespie,+48829116296,Master of Arts,"['sports', 'hiking', 'traveling', 'art']",Gdansk,"['uncertain', 'confident', 'lazy', 'tolerant', 'courageous', 'reliable', 'insightful']",male,22,Poland,1.07,English + Poland,Fast,Low
63,Kara Adams,+48922999977,Bachelor of Arts,['sports'],Krakow,"['sarcastic', 'rigid', 'sympathetic', 'intelligent', 'slovenly', 'obnoxious']",female,28,USA,4.09,English,Fast,Medium
64,Randy Woods,+48007839434,Bachelor of Science,"['cooking', 'hiking']",Poznan,"['obnoxious', 'patient']",female,27,Italy,4.62,English,Medium,Low
65,Mr. Mathew Ferrell,+48442119190,Bachelor of Science,"['music', 'cooking', 'art', 'sports', 'hiking']",Lublin,"['finicky', 'slovenly', 'rigid', 'bossy', 'self-centered', 'optimistic', 'sociable']",female,26,Poland,3.12,English + Poland,Medium,Low
66,Michael Krause,+48131640982,Bachelor of Arts,"['hiking', 'traveling', 'cooking', 'dancing', 'reading']",Wroclaw,"['confident', 'greedy', 'self-centered']",female,29,Poland,3.89,English + Poland,Fast,Low
67,Kelli King,+48195658077,Bachelor of Arts,"['cooking', 'gaming']",Krakow,"['indecisive', 'greedy', 'discreet']",female,29,Poland,2.54,English + Poland,Low,Low
68,Reginald Huber,+48441115742,Master of Arts,"['cooking', 'music']",Szczecin,"['obnoxious', 'arrogant']",male,24,Ukraine,4.63,English + Ukraine,Medium,High
69,Jeffrey Robinson,+48626756195,Master of Science,"['traveling', 'hiking', 'gaming', 'art']",Warsaw,"['finicky', 'disrespectful']",female,26,UK,2.27,English,Medium,High
70,John Mathis,+48659335093,Bachelor of Science,"['reading', 'cooking']",Gdansk,"['finicky', 'driven', 'sympathetic', 'determined', 'persistent']",male,29,Poland,4.78,English + Poland,Fast,High
71,Erin Parrish,+48695734004,Master of Arts,['gaming'],Poznan,['competent'],male,30,Poland,3.16,English + Poland,Fast,Medium
72,Jamie Ramirez,+48259033232,PhD,"['traveling', 'hiking']",Wroclaw,"['forgetful', 'kind', 'reckless', 'reliable', 'dishonest', 'disrespectful', 'humble']",female,25,France,3.26,English,Fast,High
73,Steven Andrews III,+48747832371,PhD,"['music', 'hiking', 'dancing', 'art', 'traveling']",Szczecin,"['honest', 'conceited', 'creative']",female,28,Ukraine,4.22,English + Ukraine,Medium,Low
